SPINK1,EGFR,KDR,HAVCR2,CTLA4,KRAS,TGFB1,ITGA2,CMPK1,APC,ACTR2,ERBB2,PDCD1,PFN1,GPC3,TACSTD2,CDH17,MYC,CCND1,TP53,COPS5
11.749,8.5696,8.0315,5.9944,5.0523,10.895,7.4089,12.255,12.896,8.9465,13.4,11.434,2.7293,13.468,12.593,7.2116,14.114,11.724,11.775,11.581,10.308
9.2923,9.6233,7.347,5.037,2.6565,9.5842,9.1412,10.192,12.05,8.8242,11.593,11.827,3.3623,14.189,8.245,7.718,13.198,13.565,11.834,9.4968,10.526
8.0538,8.9527,8.4974,8.5042,5.1704,9.514,10.811,10.313,12.229,8.521,12.243,12.244,4.4822,13.771,5.6591,9.8771,14.406,12.274,11.862,10.945,10.505
11.506,8.7962,7.9141,5.9501,4.7427,9.5417,8.8219,9.8545,11.768,9.091,12.362,11.931,4.7427,13.759,7.9325,10.573,12.693,13.374,12.364,11.683,10.539
9.9196,9.0029,7.4622,7.1779,6.0573,8.8889,10.333,9.8345,10.534,7.5425,10.851,12.619,6.0573,14.836,3.8949,7.4309,12.707,12.795,12.384,12.072,9.5754
9.5585,9.5791,8.2966,6.0472,5.5165,9.7297,10.359,10.201,11.61,8.6189,12.384,11.894,3.8648,14.034,5.5587,6.5847,13.282,12.173,13.127,11.94,9.8868
8.4252,8.4716,8.0655,5.6076,3.6132,9.0166,9.6418,9.6058,10.095,8.4014,9.9552,13.236,4.8626,15.224,7.4294,10.552,12.911,12,11.339,11.459,9.3751
12.634,8.723,7.2602,5.879,7.8083,9.3503,9.0106,10.228,11.6,8.7268,11.616,12.584,7.5419,14.441,8.9601,10.006,13.164,12.659,12.252,12.063,9.753
12.889,9.0096,8.3712,5.6601,4.4474,9.6421,9.7205,10.872,12.168,9.0723,12.206,12.899,4.4474,14.123,5.5727,7.4713,13.701,12.532,11.836,11.926,10.25
10.29,9.8998,7.0727,3.949,3.7046,9.8893,7.5043,11.072,11.881,9.1219,12.621,12.624,2.5398,14.481,7.6147,4.0573,13.53,12.479,11.573,11.279,10.269
11.943,10.322,8.4819,5.3921,4.1001,9.4849,8.5263,10.635,12.31,8.5552,12.219,12.64,3.2773,13.29,4.201,3.6065,13.18,13.169,11.905,10.794,10.808
12.076,8.7664,7.4669,5.2773,4.8746,9.027,9.4752,10.394,10.613,8.1515,12.141,12.93,6.1185,14.545,6.5944,11.345,12.654,12.028,13.333,12.329,9.6966
12.031,8.177,8.3162,6.7315,3.6663,9.3532,10.688,10.041,11.461,6.9745,11.867,11.907,4.3571,14.47,4.9184,7.876,12.952,12.73,11.985,9.531,10.219
9.2458,8.5734,8.2312,8.8165,6.7956,9.5829,10.656,10.281,12.083,8.7585,12.547,11.947,6.4692,13.5,8.7022,11.816,13.835,12.158,12.161,8.6003,11.141
11.815,8.2106,8.5211,7.2051,6.2962,10.266,10.733,11.024,11.949,9.4718,12.079,12.194,5.4628,14.456,8.8045,8.5463,13.127,12.344,12.174,10.667,10.512
12.542,9.5383,7.4524,4.7532,2.4809,9.2664,7.6736,10.222,12.177,8.2123,12.004,12.026,3.1106,13.433,3.8824,5.7672,13.995,13.816,12.026,11.242,11.342
11.874,9.3992,7.8658,6.2931,4.3473,9.9994,9.4665,11.182,11.837,7.3424,12.253,12.14,3.4165,13.45,5.0556,7.3135,14.079,13.539,12.217,10.696,9.6744
12.919,8.4357,7.5139,5.6409,5.5781,9.102,9.6953,10.141,11.259,7.7672,10.485,15.094,5.0854,14.851,4.8924,7.2574,12.885,13.013,11.843,12.152,10.035
11.695,8.992,7.8172,5.0815,4.8815,9.9751,7.7156,10.702,12.662,9.2422,12.397,12.465,3.7058,13.422,5.5206,8.0073,13.612,12.841,12.586,11.492,10.137
11.63,8.406,8.5934,6.2364,4.4761,9.6992,9.267,10.513,12.273,7.9777,12.01,11.973,3.1652,13.37,8.297,7.947,13.115,13.172,12.637,10.958,10.448
11.005,7.8501,6.5919,3.757,4.187,7.9189,10.286,8.2801,9.7166,5.5355,10.04,12.058,3.5795,15.591,6.4951,8.0861,13.148,11.468,11.331,12.578,9.5246
10.18,9.6815,7.8519,6.4034,4.8521,10.38,9.6041,11.731,11.765,7.5727,12.616,12.458,4.7311,14.128,5.21,6.8437,14.593,12.52,12.339,12.044,10.038
10.348,8.9578,8.8672,5.719,2.7085,10.442,9.0031,11.276,12.592,8.5673,12.705,10.933,2.2299,14.032,4.975,8.809,13.205,12.393,11.283,11.463,10.359
10.891,9.4185,7.2747,5.3238,4.4791,10.537,8.5277,11.369,12.415,8.6389,12.472,12.054,4.1349,14.242,6.7641,8.0558,13.809,11.833,12.05,11.944,9.7485
11.043,8.9549,7.7386,6.4304,4.191,9.7838,10.381,10.994,11.889,9.3287,12.13,11.988,2.0831,13.933,4.5644,9.7625,13.57,12.23,12.365,8.0222,10.202
11.302,8.5462,7.0127,6.1925,5.4183,9.0897,8.4327,9.5191,10.75,6.5105,12.269,13.055,5.4183,14.104,10.044,4.9714,11.352,13.682,12.745,12.2,10.063
9.5507,10.224,7.7089,7.7426,6.0267,10.036,9.8447,10.442,12.026,8.4306,12.483,12.494,6.0267,13.424,4.0564,9.7264,9.5586,14.275,13.563,8.6534,10.932
12.15,8.9623,9.5099,6.3406,6.1082,9.6661,10.405,10.692,11.525,7.6714,11.854,12.814,5.3775,13.611,5.3389,10.502,13.187,13.959,12.137,11.198,10.111
11.787,9.4089,7.9458,5.1098,3.3039,9.5403,8.9166,10.233,11.758,9.1673,12.264,12.583,2.9825,13.863,4.7356,7.2185,12.689,12.812,12.006,11.574,11.02
9.9813,9.6796,8.7856,6.1665,4.4632,10.21,9.7523,10.647,11.415,8.3077,12.088,12.837,4.1882,14.729,4.1103,9.1268,12.152,13.525,12.489,12.152,9.8423
6.7252,9.6975,7.6355,5.6145,4.0593,9.6843,8.9184,11.236,11.422,8.0576,12.393,12.13,4.4308,14.243,4.3638,6.8772,13.647,12.009,11.941,11.7,9.8874
10.177,9.0095,6.8499,5.2496,3.9538,10.266,7.7388,10.158,12.456,9.1186,12.406,11.953,2.0777,14.533,6.633,9.5382,12.965,12.364,12.373,12.22,10.583
11.067,9.131,7.9839,6.8193,4.7458,10.13,9.5813,10.79,12.657,9.6776,11.91,12.562,4.6781,13.403,5.5771,5.3349,14.13,11.755,11.715,11.052,10.128
10.448,9.6069,7.0548,5.3151,4.0465,9.8467,8.7324,9.4477,12.188,8.4036,12.008,13.079,3.8008,14.017,4.7481,7.1887,14.557,13.325,11.979,11.113,11.011
9.3648,8.4069,7.943,5.3422,3.2916,10.089,8.8294,9.8674,11.123,8.6437,11.51,12.872,3.4451,13.912,7.5105,11.269,13.877,13.213,12.743,11.455,10.727
13.78,8.6008,7.9817,5.7694,4.177,10.32,9.6349,11.876,11.399,8.8636,12.478,12.501,4.7657,14.491,4.3482,6.3354,14.661,12.409,12.078,11.621,10.523
11.656,9.2871,7.1151,5.1158,3.9673,9.7416,7.8781,10.033,12.511,8.1326,11.759,11.868,3.6682,14.494,7.591,4.6104,12.399,13.328,12.544,8.0474,9.3882
9.3989,9.0043,8.0828,6.6488,4.8122,9.6945,8.6528,10.134,12.006,8.2786,12.416,11.681,4.6328,13.981,4.2527,8.0429,13.541,13.667,12.178,11.637,10.798
6.7955,9.11,9.362,4.2884,7.0689,10.13,8.5339,10.124,12.409,9.7002,12.24,11.67,3.3604,14.039,2.7642,11.077,7.1178,10.458,13.672,11.087,9.7898
13.479,8.3581,8.2968,5.8004,3.9934,9.8863,8.1465,10.758,12.729,9.3002,12.543,11.953,5.0044,14.129,6.8196,9.9255,13.001,12.834,11.965,12.13,10.245
11.071,7.6351,7.7103,6.6002,5.5077,8.9821,9.8495,10.585,10.817,7.4647,12.201,11.932,5.0275,13.87,4.1205,9.749,13.737,13.854,12.515,11.905,10.485
10.13,10.157,8.2632,6.8043,5.7015,9.6443,9.6146,10.377,11.713,8.498,12.673,11.388,4.7582,13.772,7.9826,7.6882,13.296,12.892,11.993,12.258,11.214
10.375,9.4813,7.8683,3.9711,1.0904,8.9234,8.9729,10.232,11.438,8.3796,11.673,12.908,2.1337,14.527,2.1337,8.3197,14.21,13.413,12.187,12.473,10.596
11.892,8.1782,6.3648,5.876,4.4412,9.7097,8.1855,10.637,12.738,8.7688,11.992,12.609,3.8402,13.52,5.3033,4.6255,13.289,12.718,11.839,11.084,10.037
